Letter    Occurences     Percentage
   A           1           20.00%
   B           0            0.00%
   C           0            0.00%
   D           1           20.00%
   E           0            0.00%
   F           0            0.00%
   G           0            0.00%
   H           0            0.00%
   I           0            0.00%
   J           0            0.00%
   K           1           20.00%
   L           0            0.00%
   M           0            0.00%
   N           0            0.00%
   O           0            0.00%
   P           1           20.00%
   Q           0            0.00%
   R           0            0.00%
   S           0            0.00%
   T           0            0.00%
   U           0            0.00%
   V           0            0.00%
   W           0            0.00%
   X           0            0.00%
   Y           0            0.00%
   Z           1           20.00%
   a           1           20.00%
   b           0            0.00%
   c           1           20.00%
   d           0            0.00%
   e           0            0.00%
   f           1           20.00%
   g           0            0.00%
   h           0            0.00%
   i           1           20.00%
   j           0            0.00%
   k           0            0.00%
   l           0            0.00%
   m           0            0.00%
   n           0            0.00%
   o           0            0.00%
   p           0            0.00%
   q           1           20.00%
   r           0            0.00%
   s           0            0.00%
   t           0            0.00%
   u           0            0.00%
   v           0            0.00%
   w           0            0.00%
   x           0            0.00%
   y           0            0.00%
   z           0            0.00%
